Country Name,Country Code,Series Name,Series Code,2018 [YR2018],2019 [YR2019]
"Argentina,ARG,""Exports of goods and services (BoP, current US$)"",BX.GSR.GNFS.CD,77143165816.1223,79964482529.4226"
Argentina,ARG,Imports of goods and services (current US$),NE.IMP.GNFS.CD,85681309473.2328,65845624691.108
Argentina,ARG,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,-4.46133700429023,-18.697229551099
Argentina,ARG,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,16.3258502050892,14.7057366680037
Armenia,ARM,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,5.00000000096964,15.9999999981531
Armenia,ARM,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,39.3928940286073,41.3508013620849
"Armenia,ARM,""Exports of goods and services (BoP, current US$)"",BX.GSR.GNFS.CD,4927027295.37741,5819775345.41831"
Armenia,ARM,Imports of goods and services (current US$),NE.IMP.GNFS.CD,6612701455.26012,7458380122.32194
Armenia,ARM,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,13.3000000004703,11.5999999980422
Armenia,ARM,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,53.0802129926047,54.7633527667858
Aruba,ABW,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,..,..
Aruba,ABW,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,72.2527739552586,73.2345915426225
"Aruba,ABW,""Exports of goods and services (BoP, current US$)"",BX.GSR.GNFS.CD,2556761700.07297,2561691719.54532"
Aruba,ABW,Imports of goods and services (current US$),NE.IMP.GNFS.CD,2390329608.93855,2448675977.65363
Aruba,ABW,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,..,..
Aruba,ABW,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,72.9607783956333,72.1089811926666
Australia,AUS,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,4.12613474345322,3.92074448647564
Australia,AUS,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,21.8940905352475,24.1596779983146
"Australia,AUS,""Exports of goods and services (BoP, current US$)"",BX.GSR.GNFS.CD,327167703630.941,342186712976.823"
Australia,AUS,Imports of goods and services (current US$),NE.IMP.GNFS.CD,311861687284.904,306786753625.531
Australia,AUS,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,7.40633982198126,0.509715621318207
Australia,AUS,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,21.8419745445958,22.0278238953145
Austria,AUT,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,5.1509338948138,4.03526785434391
Austria,AUT,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,55.7022394735073,55.8958073929339
"Austria,AUT,""Exports of goods and services (BoP, current US$)"",BX.GSR.GNFS.CD,251965220744.368,247441572296.804"
Austria,AUT,Imports of goods and services (current US$),NE.IMP.GNFS.CD,238401029982.974,231731288458.933
Austria,AUT,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,5.1045136852548,2.35191584121621
Austria,AUT,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,52.6757304983207,52.3114775114917
Azerbaijan,AZE,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,..,..
Azerbaijan,AZE,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,54.0922938620586,49.0506275016423
"Azerbaijan,AZE,""Exports of goods and services (BoP, current US$)"",BX.GSR.GNFS.CD,25491283769.5588,23636648931.1637"
Azerbaijan,AZE,Imports of goods and services (current US$),NE.IMP.GNFS.CD,17704999420.594,17712470588.2353
Azerbaijan,AZE,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,..,..
Azerbaijan,AZE,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,37.5802826749238,36.7675179068137
Bahamas, The,BHS,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,12.0795004697349,1.69855136569723
Bahamas, The,BHS,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,35.8399784397343,35.5641431446966
"Bahamas, The,BHS,""Exports of goods and services (BoP, current US$)"",BX.GSR.GNFS.CD,4751884606.5975,5163836865.5275"
Bahamas, The,BHS,Imports of goods and services (current US$),NE.IMP.GNFS.CD,5092260000,4813810000
Bahamas, The,BHS,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,-2.15960312489193,-3.78142514325663
Bahamas, The,BHS,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,40.3641465463942,36.9832209093284
Bahrain,BHR,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,3.26151272264505,0.380954757663247
Bahrain,BHR,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,75.7153726820796,73.0944239873751
"Bahrain,BHR,""Exports of goods and services (BoP, current US$)"",BX.GSR.GNFS.CD,29959042553.1915,30059840425.5319"
Bahrain,BHR,Imports of goods and services (current US$),NE.IMP.GNFS.CD,27048670212.766,25207712765.9574
Bahrain,BHR,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,5.72459938230989,-5.56800598527487
Bahrain,BHR,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,68.3599998924555,62.3231194108364
Bangladesh,BGD,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,6.10591970600657,11.4564733885721
Bangladesh,BGD,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,12.6747879443391,13.0947573353039
"Bangladesh,BGD,""Exports of goods and services (BoP, current US$)"",BX.GSR.GNFS.CD,44128038982.4148,44961040130.3925"
Bangladesh,BGD,Imports of goods and services (current US$),NE.IMP.GNFS.CD,63757868050.7515,64919190426.113
Bangladesh,BGD,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,23.9349777259356,0.505485109903844
Bangladesh,BGD,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,19.8398437797492,18.4832971559365
Barbados,BRB,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,..,..
Barbados,BRB,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,..,..
"Barbados,BRB,""Exports of goods and services (BoP, current US$)"",BX.GSR.GNFS.CD,..,.."
Barbados,BRB,Imports of goods and services (current US$),NE.IMP.GNFS.CD,..,..
Barbados,BRB,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,..,..
Barbados,BRB,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,..,..
Belarus,BLR,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,3.80019384239365,0.966345015804066
Belarus,BLR,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,70.4545454545455,65.0944096428465
"Belarus,BLR,""Exports of goods and services (BoP, current US$)"",BX.GSR.GNFS.CD,42267800000,41974900000"
Belarus,BLR,Imports of goods and services (current US$),NE.IMP.GNFS.CD,41384800216.7247,42353341622.9121
Belarus,BLR,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,7.30016489452441,5.10485546500708
Belarus,BLR,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,68.9388489208633,65.7557224712763
Belgium,BEL,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,1.54494885044363,2.93656183536118
Belgium,BEL,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,83.4830567161373,82.9674275396401
"Belgium,BEL,""Exports of goods and services (BoP, current US$)"",BX.GSR.GNFS.CD,451405078851.593,445334996700.103"
Belgium,BEL,Imports of goods and services (current US$),NE.IMP.GNFS.CD,460128692309.647,442788775443.921
Belgium,BEL,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,2.33814871142759,1.48581228531567
Belgium,BEL,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,84.7946361610806,82.4980513923498
Belize,BLZ,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,9.60424710424709,5.32804931748127
Belize,BLZ,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,51.5643737054399,51.8569693924549
"Belize,BLZ,""Exports of goods and services (BoP, current US$)"",BX.GSR.GNFS.CD,1071298551.55414,1102475875.00024"
Belize,BLZ,Imports of goods and services (current US$),NE.IMP.GNFS.CD,1126000000,1200500000
Belize,BLZ,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,0.0426257459505592,5.32594801874733
Belize,BLZ,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,49.1006213888586,50.2658794958757
Benin,BEN,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,4.99999999999999,8.61455786939371
Benin,BEN,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,27.2742306189085,29.6305271935478
"Benin,BEN,""Exports of goods and services (BoP, current US$)"",BX.GSR.GNFS.CD,3847619383.807,3584933958.07544"
Benin,BEN,Imports of goods and services (current US$),NE.IMP.GNFS.CD,4923520740.39052,4900485058.66872
Benin,BEN,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,4.8386861710308,3.39394794126189
Benin,BEN,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,34.5209638714363,34.0508051206822
Bermuda,BMU,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,5.851315033568,-3.27879026644506
Bermuda,BMU,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,51.4791563825902,51.7434243981752
"Bermuda,BMU,""Exports of goods and services (BoP, current US$)"",BX.GSR.GNFS.CD,1585558509.22861,1605054627.62346"
Bermuda,BMU,Imports of goods and services (current US$),NE.IMP.GNFS.CD,1884254000,1916492000
Bermuda,BMU,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,4.51114797569529,1.21375575541749
Bermuda,BMU,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,26.0761139981486,25.816677252469
Bhutan,BTN,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,0.263572537180366,26.1406971009475
Bhutan,BTN,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,29.1897191951567,31.4575032893846
"Bhutan,BTN,""Exports of goods and services (BoP, current US$)"",BX.GSR.GNFS.CD,785622133.829875,777529115.268209"
Bhutan,BTN,Imports of goods and services (current US$),NE.IMP.GNFS.CD,1305876236.84673,1221920790.7376
Bhutan,BTN,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,1.53774502814706,-3.36440414184273
Bhutan,BTN,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,50.5500011526558,44.6660134237944
Bolivia,BOL,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,5.19000968008665,-1.81968888437606
Bolivia,BOL,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,25.9887950657509,24.967262285945
"Bolivia,BOL,""Exports of goods and services (BoP, current US$)"",BX.GSR.GNFS.CD,10399006027.069,10271105038.5825"
Bolivia,BOL,Imports of goods and services (current US$),NE.IMP.GNFS.CD,12537987227.2316,12853418146.5547
Bolivia,BOL,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,1.93275624129303,1.52466046006323
Bolivia,BOL,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,31.1211695675762,31.4300444470217
Bosnia and Herzegovina,BIH,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,7.27845849982766,0.504389421353551
Bosnia and Herzegovina,BIH,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,41.9845635628313,40.0400711149533
"Bosnia and Herzegovina,BIH,""Exports of goods and services (BoP, current US$)"",BX.GSR.GNFS.CD,8592405563.65495,8198634415.03453"
Bosnia and Herzegovina,BIH,Imports of goods and services (current US$),NE.IMP.GNFS.CD,11562741968.0927,11158117574.0633
Bosnia and Herzegovina,BIH,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,3.94707334101869,1.31472995600188
Bosnia and Herzegovina,BIH,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,56.4475276333556,54.4760567724708
Botswana,BWA,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,11.8824105874732,-8.81769224136181
Botswana,BWA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,44.2281439237392,37.0878176552067
"Botswana,BWA,""Exports of goods and services (BoP, current US$)"",BX.GSR.GNFS.CD,7532334395.5046,6228711668.84286"
Botswana,BWA,Imports of goods and services (current US$),NE.IMP.GNFS.CD,7362391280.37078,7694781424.87258
Botswana,BWA,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,15.9167143477638,11.5721875986499
Botswana,BWA,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,43.2269600709101,46.0051637049108
Brazil,BRA,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,4.0530836823193,-2.56142103723471
Brazil,BRA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,14.6349994952986,14.1229191903622
"Brazil,BRA,""Exports of goods and services (BoP, current US$)"",BX.GSR.GNFS.CD,273562694630.265,258826039949.725"
Brazil,BRA,Imports of goods and services (current US$),NE.IMP.GNFS.CD,272994464677.427,276634813667.029
Brazil,BRA,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,7.7427789407628,1.3325660908859
Brazil,BRA,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,14.2412038806757,14.7673386775793
British Virgin Islands,VGB,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,..,..
British Virgin Islands,VGB,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,..,..
"British Virgin Islands,VGB,""Exports of goods and services (BoP, current US$)"",BX.GSR.GNFS.CD,..,.."
British Virgin Islands,VGB,Imports of goods and services (current US$),NE.IMP.GNFS.CD,..,..
British Virgin Islands,VGB,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,..,..
British Virgin Islands,VGB,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,..,..
Brunei Darussalam,BRN,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,5.70478509711634,14.8808581215119
Brunei Darussalam,BRN,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,51.9332399413022,57.9460404529917
"Brunei Darussalam,BRN,""Exports of goods and services (BoP, current US$)"",BX.GSR.GNFS.CD,7040938538.27712,7827700937.07236"
Brunei Darussalam,BRN,Imports of goods and services (current US$),NE.IMP.GNFS.CD,5693328946.12768,6810532694.73775
Brunei Darussalam,BRN,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,28.0724888823586,13.7660411874602
Brunei Darussalam,BRN,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,41.9648218869805,50.563617894146
Bulgaria,BGR,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,1.73336747506367,3.99597901745277
Bulgaria,BGR,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,65.7651341270555,64.1822870820611
"Bulgaria,BGR,""Exports of goods and services (BoP, current US$)"",BX.GSR.GNFS.CD,43494410000,44031990000"
Bulgaria,BGR,Imports of goods and services (current US$),NE.IMP.GNFS.CD,41828812873.6187,41760810485.9481
Bulgaria,BGR,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,5.60439492241305,5.37305620025575
Bulgaria,BGR,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,63.100431152185,60.8476760586327
Burkina Faso,BFA,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,15.1977068391316,0.139532988059244
Burkina Faso,BFA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,28.0789061419219,29.2576956572794
"Burkina Faso,BFA,""Exports of goods and services (BoP, current US$)"",BX.GSR.GNFS.CD,4511341340.12871,4467669903.98621"
Burkina Faso,BFA,Imports of goods and services (current US$),NE.IMP.GNFS.CD,5166928258.63695,4994381288.40906
Burkina Faso,BFA,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,8.5012810225479,3.35444634671866
Burkina Faso,BFA,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,32.5167194817269,31.1509972180432
Burundi,BDI,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,11.0000499936041,-0.481019982153128
Burundi,BDI,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,5.6856543143069,5.17203999926172
"Burundi,BDI,""Exports of goods and services (BoP, current US$)"",BX.GSR.GNFS.CD,300580667.874084,299143464.758532"
Burundi,BDI,Imports of goods and services (current US$),NE.IMP.GNFS.CD,557815769.466995,614607193.688784
Burundi,BDI,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,18.9999799944948,17.1000000030359
Burundi,BDI,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,20.9140481504705,23.8541700005272
Cabo Verde,CPV,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,13.4010917041029,9.19077410689077
Cabo Verde,CPV,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,45.865993464408,46.7050331370949
"Cabo Verde,CPV,""Exports of goods and services (BoP, current US$)"",BX.GSR.GNFS.CD,963649656.108373,1005347980.00212"
Cabo Verde,CPV,Imports of goods and services (current US$),NE.IMP.GNFS.CD,1323093456.4777,1281435262.2079
Cabo Verde,CPV,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,12.1738773555818,3.319204248088
Cabo Verde,CPV,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,60.0015305876965,56.8976233266308
Cambodia,KHM,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,6.8929419329597,12.3444528821985
Cambodia,KHM,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,55.4713973566208,55.4468679729119
"Cambodia,KHM,""Exports of goods and services (BoP, current US$)"",BX.GSR.GNFS.CD,18413935867.9151,21072422248.3003"
Cambodia,KHM,Imports of goods and services (current US$),NE.IMP.GNFS.CD,20870727998.1726,22117532079.4063
Cambodia,KHM,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,7.72710382527862,10.4688325810279
Cambodia,KHM,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,62.9662580564288,60.289811099536
Cameroon,CMR,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,2.12936322857237,11.2229547966438
Cameroon,CMR,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,18.7362534690181,19.8500907473186
"Cameroon,CMR,""Exports of goods and services (BoP, current US$)"",BX.GSR.GNFS.CD,7301078164.06876,7730803119.56594"
Cameroon,CMR,Imports of goods and services (current US$),NE.IMP.GNFS.CD,8730827316.89187,9333197587.66967
Cameroon,CMR,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,8.46997817946547,11.3561830667449
Cameroon,CMR,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,21.8513494080099,23.528422500723
Canada,CAN,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,3.57412177462744,2.28655554504809
Canada,CAN,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,32.3254037264858,32.3526958202565
"Canada,CAN,""Exports of goods and services (BoP, current US$)"",BX.GSR.GNFS.CD,557656145915.904,564128218247.912"
Canada,CAN,Imports of goods and services (current US$),NE.IMP.GNFS.CD,591347645767.306,589706748631.384
Canada,CAN,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,3.497828528318,-0.10815653305896
Canada,CAN,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,34.2744821243903,33.8187894602395
Cayman Islands,CYM,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,..,..
Cayman Islands,CYM,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,71.587849798792,69.4710255697764
"Cayman Islands,CYM,""Exports of goods and services (BoP, current US$)"",BX.GSR.GNFS.CD,3959020399.24586,4205016947.31745"
Cayman Islands,CYM,Imports of goods and services (current US$),NE.IMP.GNFS.CD,2517850071.40029,2695690782.76313
Cayman Islands,CYM,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,..,..
Cayman Islands,CYM,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,45.5292735739521,45.3675141253948
Central African Republic,CAF,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,-52.0561431564926,1.95231933255103
Central African Republic,CAF,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,15.9400300007701,15.7553800018083
"Central African Republic,CAF,""Exports of goods and services (BoP, current US$)"",BX.GSR.GNFS.CD,..,.."
Central African Republic,CAF,Imports of goods and services (current US$),NE.IMP.GNFS.CD,748917943.770559,762137823.137317
Central African Republic,CAF,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,-5.43337285119273,4.91836663158803
Central African Republic,CAF,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,33.7201700016618,34.3104199996784
Chad,TCD,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,5.59752767468713,5.99130784621147
Chad,TCD,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,36.1906824485852,36.7422534363826
"Chad,TCD,""Exports of goods and services (BoP, current US$)"",BX.GSR.GNFS.CD,..,.."
Chad,TCD,Imports of goods and services (current US$),NE.IMP.GNFS.CD,4272465296.55609,4280250489.1643
